,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
63,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.96437,0.00501,0.02332,-0.21952,0.01838,0.52808,6.0,27.38,300 x 25,26.93,27.51,403.0,0.04,0.05,1153 x 1270,0.09,-0.01062,0.00237,0.00835,-0.04487,-0.00063,0.4125,439.0,27.0,0.063
64,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97648,0.00408,0.01635,-0.12042,0.01868,0.45945,22.0,25.7,25 x 2,25.48,26.75,404.0,0.04,0.06,1153 x 1732,0.08,-0.01186,0.00257,0.0091,-0.04933,0.0,0.40435,1219.0,26.0,0.06
65,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98184,0.00351,0.01311,-0.08143,0.01881,0.41703,14.0,25.1,30 x 30,24.53,25.62,405.0,0.05,0.06,1173 x 736,0.07,-0.0131,0.00291,0.00991,-0.05449,0.0,0.39549,1919.0,25.0,0.058
66,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.9711,0.00498,0.01907,-0.14383,0.01824,0.44199,0.0,28.21,25 x 25,23.75,24.53,406.0,0.06,0.07,386 x 904,0.12,-0.01553,0.0034,0.01172,-0.06366,-0.00026,0.38994,1171.0,24.0,0.056
67,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,1.0,0.0,0.0,-0.00245,0.01935,,7.0,22.08,30 x 300,22.32,23.24,407.0,0.07,0.08,486 x 1246,0.08,-0.0184,0.00388,0.01268,-0.07311,-0.00016,0.3838,1904.0,23.0,0.053
68,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97689,0.00476,0.01621,-0.10077,0.01916,0.38574,0.0,27.08,29 x 25,21.77,22.42,408.0,0.08,0.09,586 x 1155,0.11,-0.02012,0.00441,0.01433,-0.08242,-0.00038,0.37601,1266.0,22.0,0.051
69,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.96576,0.00645,0.02225,-0.16161,0.01864,0.40359,2.0,20.35,25 x 2,20.53,21.79,409.0,0.09,0.1,1164 x 370,0.11,-0.02339,0.00505,0.01613,-0.09289,-0.00042,0.36697,2485.0,21.0,0.049
70,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.9515,0.0081,0.02995,-0.24327,0.01825,0.42099,13.0,18.0,19 x 19,19.8,20.7,410.0,0.11,0.12,1144 x 920,0.11,-0.02774,0.00591,0.01853,-0.1113,-0.00055,0.3639,5616.0,20.0,0.046
71,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.9554,0.00821,0.02798,-0.20715,0.01829,0.38974,14.0,19.42,32 x 32,18.82,19.6,411.0,0.13,0.14,1047 x 852,0.14,-0.03246,0.00682,0.02197,-0.1305,-0.00059,0.3577,893.0,19.0,0.044
72,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,1.0,0.0,0.0,-0.00251,0.01959,,10.0,18.76,30 x 300,17.41,18.32,412.0,0.15,0.17,1001 x 1088,0.15,-0.03817,0.00796,0.02495,-0.15313,-0.00113,0.35255,2193.0,18.0,0.042
